company_name	company_type	company_size	is_listed
TCL集团股份有限公司	互联网	20-99人	不需要融资
三七互娱(上海)科技有限公司	移动互联网	1000-9999人	已上市
三只松鼠股份有限公司	电子商务	1000-9999人	D轮及以上
上海一嗨汽车租赁有限公司	汽车生产	1000-9999人	已上市
上汽通用五菱汽车股份有限公司	汽车生产	10000人以上	未融资
上海互盾信息科技有限公司	移动互联网	100-499人	不需要融资
上海付费通信息服务有限公司	互联网	100-499人	不需要融资
上海互生企业发展有限公司	互联网	20-99人	不需要融资
K11集团有限公司	其他行业	10000人以上	已上市
上海全土豆网络科技有限公司	互联网	1000-9999人	不需要融资
上海云弘投资管理有限公司	其他行业	1000-9999人	未融资
上海君学投资管理有限公司	在线教育	100-499人	不需要融资
上海巨人网络科技有限公司	游戏	1000-9999人	已上市
万色城电子商务集团有限公司	互联网	100-499人	B轮
上海杜森服饰有限公司	生活服务	0-20人	未融资
上海汽车集团股份有限公司	汽车生产	1000-9999人	未融资
上海汽车工业销售有限公司	互联网	100-499人	A轮
上海易娱网络科技有限公司	移动互联网	100-499人	不需要融资
上海久安广告有限公司	人力资源服务	20-99人	未融资
上海炫动传播股份有限公司	在线教育	0-20人	无信息
上海烛龙信息科技有限公司	广播/影视	0-20人	天使轮
上海玄霆娱乐信息科技有限公司	互联网	1000-9999人	无信息
上海相宜本草化妆品股份有限公司	其他行业	1000-9999人	不需要融资
上海赛洋企业管理咨询有限公司	移动互联网	20-99人	未融资
上海彪马服饰有限公司	其他行业	500-999人	已上市
上海赛洋品牌管理咨询有限公司	移动互联网	20-99人	未融资
上海阅文信息技术有限公司	互联网	1000-9999人	已上市
上海美特斯邦威服饰股份有限公司	在线教育	100-499人	不需要融资
上海肯同商业控股有限公司	房地产开发	500-999人	不需要融资
上海高诚创意科技集团有限公司	交通/运输	20-99人	无信息
上海车马炮投资有限公司	互联网	500-999人	不需要融资
上海游族信息技术有限公司	游戏	1000-9999人	已上市
中国吉林森林工业集团有限责任公司	广告营销	20-99人	天使轮
中国工商银行股份有限公司	企业服务	100-499人	已上市
中国平安保险(集团)股份有限公司	互联网金融	1000-9999人	已上市
上海青橙实业有限公司	学术/科研	20-99人	A轮
中国移动通信集团公司	移动互联网	10000人以上	已上市
中国联合网络通信集团有限公司	通信/网络设备	10000人以上	已上市
中信国安城市发展控股有限公司	其他行业	1000-9999人	已上市
